,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
1,0.388888889,0.602777778,10.83888889
2,0.294444444,0.561111111,10.66666667
3,0.327777778,0.594444444,10.675
4,0.258333333,0.405555556,9.527777778
5,0.272222222,0.780555556,11.24722222
6,0.094444444,0.186111111,7.827777778
8,0.069444444,0.094444444,7.541666667
9,0.613888889,0.688888889,10.38055556
10,0.219444444,0.230555556,8.480555556
11,0.041666667,0.069444444,8.994444444
12,0.105555556,0.286111111,7.766666667
13,0.047222222,0.066666667,6.8
14,0.002777778,0.002777778,6.225
17,0.013888889,0.013888889,5.572222222
18,0.108333333,0.197222222,8.508333333
19,0.155555556,0.241666667,9.191666667
20,0.108333333,0.238888889,9.336111111
21,0.211111111,0.311111111,10.20277778
22,0.116666667,0.288888889,9.394444444
23,0.063888889,0.238888889,8.636111111
24,0.005555556,0.008333333,6.391666667
25,0.069444444,0.086111111,6.675
26,0.013888889,0.013888889,5.438888889
27,0.030555556,0.033333333,5.877777778
28,0.172222222,0.5,9.75
29,0.141666667,0.325,9.461111111
30,0.305555556,0.661111111,10.04722222
31,0.213888889,0.308333333,9.580555556
32,0.230555556,0.577777778,10.55833333
33,0.461111111,0.677777778,10.28611111
34,0.405555556,0.658333333,9.997222222
35,0.147222222,0.375,9.536111111
36,0.444444444,0.472222222,9.611111111
37,0.2,0.338888889,10.27222222
38,0.172222222,0.330555556,10.17222222
39,0.35,0.505555556,9.3
40,0.430555556,0.661111111,10.05833333
41,0.427777778,0.661111111,10.05833333
42,0.011111111,0.022222222,8.277777778
44,0.022222222,0.063888889,8.541666667
45,0.363888889,0.730555556,11.01111111
46,0.263888889,0.738888889,10.98333333
47,0.083333333,0.152777778,7.708333333
48,0.116666667,0.177777778,8.163888889
49,0.230555556,0.577777778,10.55833333
50,0.25,0.708333333,10.83611111
51,0.136111111,0.188888889,8.222222222
52,0.269444444,0.716666667,10.89444444
53,0.155555556,0.219444444,8.541666667
55,0.258333333,0.730555556,10.99444444
56,0.077777778,0.147222222,7.627777778
57,0.041666667,0.055555556,6.35
58,0.119444444,0.186111111,7.713888889
59,0.15,0.230555556,8.241666667
60,0.175,0.25,8.597222222
61,0.202777778,0.730555556,10.99722222
62,0.141666667,0.208333333,8.072222222
82,0.066666667,0.144444444,6.561111111
84,0.25,0.716666667,10.76388889
85,0.116666667,0.158333333,6.722222222
86,0.313888889,0.747222222,11.16666667
87,0.002777778,0.002777778,6.558333333
88,0.188888889,0.672222222,10.21944444
89,0.208333333,0.6,10.05